timestamp,name,loc,duration,tag,rank
1736345247595.75,wait_valid_batch,none,0.00,,0
1736345247595.90,batch_07_006_32,none,163.86,finish,0
1736345247759.87,wait_valid_batch,none,0.01,,0
1736345247760.09,batch_07_007_32,none,163.89,finish,0
1736345247924.04,wait_valid_batch,none,0.01,,0
1736345247924.21,batch_07_008_32,none,163.53,finish,0
1736345248087.79,wait_valid_batch,none,0.00,,0
1736345248087.94,batch_07_009_32,none,163.39,finish,0
1736345248251.38,wait_valid_batch,none,0.00,,0
1736345248251.53,batch_07_010_32,none,163.15,finish,0
1736345248414.73,wait_valid_batch,none,0.00,,0
1736345248414.88,batch_07_011_32,none,163.02,finish,0
1736345248577.95,wait_valid_batch,none,0.00,,0
1736345248578.10,batch_07_012_32,none,163.02,finish,0
1736345248741.17,wait_valid_batch,none,0.00,,0
1736345248741.32,batch_07_013_32,none,162.95,finish,0
